address,quantity
0x0aa055527685a6ee719bd75949ba5943527e8277,1
0x25ffb960985e48e1d87107e4bab6be40a6ead684,1
0x2c9df633bb0db5873665ccf6762b984f4a9f5d47,1
0x35c2418616de69ff71b9914e3e5ab751e2770dc5,2
0x36f5d91c1e84aa749a0d6d97cab65ef90b645179,1
0x380add2dc2e8f901fda85b076ee37ae9ad4dfdbd,1
0x46cf489da970d0329682fd0ccaabf0fdcb228caf,1
0x4ea6107508f233a37d1d08d062cb61e7b8707ce7,1
0x563c569c1197ac16532ee7552c6a2c472df6b2e6,1
0x5b1cdea2d35e84d8e7dc0780fc61a5150cce2305,1
0x62f463cc0e761ec7f958ac1fa99e7d336ac68e3f,1
0x7781b45306c2953e721479807ae8b3c2291050c8,1
0x804404fe0582546481074b68b2776834cbee8591,1
0x8c6bdf47be1f4be3c58e0c1c953b9f07ec0375d4,1
0xa0ef45d5c903cf434b7db2a92df14c3c56e2058a,1
0xa54f42e6a4f4d0d6fa48403ec80397e2fdcc8325,1
0xaaab32e95f9c86ad9cc5427832fcb35abf9ef255,1
0xadd8402f19223bc2e4b8bbf19501cc75a82e2a7c,1
0xb0dd8474bbfd2e7a88aa2dc8d2c3b9265d5ed268,1
0xb47631916f150b7179a2365b2ed1ffa0fe51f559,1
0xb69bc21dcb2905e1fac2009dbe5edea042c588ec,1
0xcfe20dff0a8d1b58eaa9d47350af6bf2aeba3e6c,1
0xe13ece504c2589272661c86a2888cc77a8620e8f,1
0xea007dbaff8a352839b21cb1c408081a6c6eed7f,2
0xeddee1ba07d2bd9b3867c8cbab3eedbe3e62fb20,1
0xf0e3a43937106bf44570ca751d3c090d2af5865f,1
0xfa951187d3521e5dbe8d734d9416f965413a0929,1
0xfe105ae13119b9063557d26d9e69574f9b30d8b3,1
0xfe27200952dab2cf1aec242dea422f26c9dce4d9,1
0x0e99bf9044b683fd2474ee5f4987d2e71e0428b1,2
0x5c5f2d6b503ff195cb989cbcfe73d92858c491a9,5
0xaa94d963bd7b6c8ddde07a4b4cf13e26c2650899,33
0xc43b131130fd4f6424703be53be17dac8f0b81c2,1
0x5171dcfd09ac42f591f9bb90bc9a330cd0cc0d94,2
0x8359ebe9d307579cf69c7e5662d39b2df5db587d,2
0x4aa6993eff298e18f08b4f8f3b58c32408523bcd,1
0xaa1d6169247dc28ac8f09b8c692b865aa423b06a,2
